Date,Value
1998-12-31,2977.022915
1999-01-01,2977.02354
1999-01-04,3007.132524
1999-01-05,3037.798957
1999-01-06,3095.451268
1999-01-07,3085.633642
1999-01-08,3083.38855
1999-01-11,3056.623357
1999-01-12,3004.959595
1999-01-13,2964.515697
1999-01-14,2944.106776
1999-01-15,2988.668641
1999-01-18,3014.674663
1999-01-19,3021.922761
1999-01-20,3039.508333
1999-01-21,3004.213583
1999-01-22,2958.245491
1999-01-25,2972.617457
1999-01-26,3003.157871
1999-01-27,2990.070908
1999-01-28,3017.071345
1999-01-29,3040.500456
1999-02-01,3044.112091
1999-02-02,3031.39279
1999-02-03,3028.080287
1999-02-04,2993.176985
1999-02-05,2971.905263
1999-02-08,2966.654867
1999-02-09,2911.582414
1999-02-10,2913.965401
1999-02-11,2964.678034
1999-02-12,2948.230102
1999-02-15,2948.396458
1999-02-16,2957.243336
1999-02-17,2930.261357
1999-02-18,2944.247143
1999-02-19,2941.2338
1999-02-22,2991.884243
1999-02-23,3001.712765
1999-02-24,2986.094588
1999-02-25,2973.729464
1999-02-26,2959.199746
1999-03-01,2936.921791
1999-03-02,2921.847308
1999-03-03,2914.184451
1999-03-04,2935.389279
1999-03-05,3008.898584
1999-03-08,3018.482156
1999-03-09,3026.08708
1999-03-10,3050.831291
1999-03-11,3070.965879
1999-03-12,3080.822326
1999-03-15,3101.186443
1999-03-16,3108.355561
1999-03-17,3101.894171
1999-03-18,3112.456082
1999-03-19,3111.343628
1999-03-22,3099.683344
1999-03-23,3036.481892
1999-03-24,3028.816534
1999-03-25,3073.15551
1999-03-26,3049.872392
1999-03-29,3097.101819
1999-03-30,3087.346055
1999-03-31,3085.7245
1999-04-01,3105.295092
1999-04-02,3101.499953
1999-04-05,3129.161884
1999-04-06,3147.963719
1999-04-07,3169.955136
1999-04-08,3206.993052
1999-04-09,3210.763214
1999-04-12,3223.278231
1999-04-13,3224.448558
1999-04-14,3203.907249
1999-04-15,3179.576636
1999-04-16,3175.448041
1999-04-19,3145.450487
1999-04-20,3142.42214
1999-04-21,3176.512982
1999-04-22,3214.226861
1999-04-23,3221.326763
1999-04-26,3234.097804
1999-04-27,3256.270284
1999-04-28,3237.910835
1999-04-29,3217.829535
1999-04-30,3207.631148
1999-05-03,3233.644225
1999-05-04,3207.811466
1999-05-05,3218.491297
1999-05-06,3218.240453
1999-05-07,3220.130803
1999-05-10,3219.743463
1999-05-11,3227.626947
1999-05-12,3228.733685
1999-05-13,3233.802067
1999-05-14,3179.305936
1999-05-17,3152.972858
1999-05-18,3157.115802
1999-05-19,3171.658946
1999-05-20,3173.557155
1999-05-21,3157.393171
1999-05-24,3127.056206
1999-05-25,3088.846832
1999-05-26,3105.684695
1999-05-27,3064.529705
1999-05-28,3093.16932
1999-05-31,3093.919441
1999-06-01,3094.09827
1999-06-02,3099.662773
1999-06-03,3108.989309
1999-06-04,3150.195087
1999-06-07,3171.427185
1999-06-08,3167.181861
1999-06-09,3176.996808
1999-06-10,3157.185018
1999-06-11,3163.687312
1999-06-14,3145.142633
1999-06-15,3155.50306
1999-06-16,3194.731439
1999-06-17,3217.961536
1999-06-18,3226.318099
1999-06-21,3240.956537
1999-06-22,3222.572319
1999-06-23,3200.859849
1999-06-24,3171.888832
1999-06-25,3179.85725
1999-06-28,3198.439827
1999-06-29,3223.09705
1999-06-30,3240.194807
1999-07-01,3279.565518
1999-07-02,3303.417068
1999-07-05,3325.767901
1999-07-06,3316.505222
1999-07-07,3311.276974
1999-07-08,3300.790143
1999-07-09,3312.015663
1999-07-12,3309.08913
1999-07-13,3293.308825
1999-07-14,3310.982368
1999-07-15,3345.242067
1999-07-16,3346.951474
1999-07-19,3336.214811
1999-07-20,3296.758778
1999-07-21,3291.080196
1999-07-22,3253.245807
1999-07-23,3228.775542
1999-07-26,3220.4305
1999-07-27,3242.932388
1999-07-28,3255.966806
1999-07-29,3221.347096
1999-07-30,3229.584756
1999-08-02,3221.911778
1999-08-03,3213.663191
1999-08-04,3193.793707
1999-08-05,3178.032633
1999-08-06,3155.214169
1999-08-09,3147.864823
1999-08-10,3115.893919
1999-08-11,3138.396758
1999-08-12,3158.537688
1999-08-13,3204.563921
1999-08-16,3226.262161
1999-08-17,3239.660133
1999-08-18,3235.147205
1999-08-19,3222.50093
1999-08-20,3261.290289
1999-08-23,3307.249598
1999-08-24,3304.373318
1999-08-25,3328.220164
1999-08-26,3295.510512
1999-08-27,3279.724044
1999-08-30,3255.290933
1999-08-31,3225.044439
1999-09-01,3260.501348
1999-09-02,3240.806674
1999-09-03,3299.857353
1999-09-06,3313.527604
1999-09-07,3295.722476
1999-09-08,3285.997763
1999-09-09,3310.39396
1999-09-10,3309.556106
1999-09-13,3299.150339
1999-09-14,3286.069926
1999-09-15,3258.077813
1999-09-16,3241.189013
1999-09-17,3257.682881
1999-09-20,3268.491856
1999-09-21,3240.232019
1999-09-22,3224.969627
1999-09-23,3189.177208
1999-09-24,3162.857616
1999-09-27,3173.897727
1999-09-28,3179.409179
1999-09-29,3159.722722
1999-09-30,3194.332608
1999-10-01,3198.48612
1999-10-04,3233.807634
1999-10-05,3232.737424
1999-10-06,3268.569318
1999-10-07,3275.386135
1999-10-08,3292.26782
1999-10-11,3297.578144
1999-10-12,3267.27339
1999-10-13,3213.060969
1999-10-14,3214.338946
1999-10-15,3154.971929
1999-10-18,3138.987459
1999-10-19,3167.632046
1999-10-20,3208.950951
1999-10-21,3202.018209
1999-10-22,3237.036989
1999-10-25,3228.040069
1999-10-26,3220.978034
1999-10-27,3226.332538
