Date,Open,High,Low,Close
03/07/2025,"3,740.37","3,740.37","3,740.37","3,740.37"
03/06/2025,"3,730.93","3,730.93","3,730.93","3,730.93"
03/05/2025,"3,777.64","3,777.64","3,777.64","3,777.64"
03/04/2025,"3,724.69","3,724.69","3,724.69","3,724.69"
03/03/2025,"3,770.34","3,770.34","3,770.34","3,770.34"
02/28/2025,"3,805.33","3,805.33","3,805.33","3,805.33"
02/27/2025,"3,767.35","3,767.35","3,767.35","3,767.35"
02/26/2025,"3,821.04","3,821.04","3,821.04","3,821.04"
02/25/2025,"3,814.35","3,814.35","3,814.35","3,814.35"
02/24/2025,"3,828.18","3,828.18","3,828.18","3,828.18"
02/21/2025,"3,843.08","3,843.08","3,843.08","3,843.08"
02/20/2025,"3,893.65","3,893.65","3,893.65","3,893.65"
02/19/2025,"3,906.82","3,906.82","3,906.82","3,906.82"
02/18/2025,"3,910.71","3,910.71","3,910.71","3,910.71"
02/17/2025,"3,902.14","3,902.14","3,902.14","3,902.14"
02/14/2025,"3,898.87","3,898.87","3,898.87","3,898.87"
02/13/2025,"3,894.24","3,894.24","3,894.24","3,894.24"
02/12/2025,"3,848.18","3,848.18","3,848.18","3,848.18"
02/11/2025,"3,854.96","3,854.96","3,854.96","3,854.96"
02/10/2025,"3,854.09","3,854.09","3,854.09","3,854.09"
02/07/2025,"3,832.82","3,832.82","3,832.82","3,832.82"
02/06/2025,"3,864.03","3,864.03","3,864.03","3,864.03"
02/05/2025,"3,848.65","3,848.65","3,848.65","3,848.65"
02/04/2025,"3,826.36","3,826.36","3,826.36","3,826.36"
02/03/2025,"3,796.53","3,796.53","3,796.53","3,796.53"
01/31/2025,"3,836.58","3,836.58","3,836.58","3,836.58"
01/30/2025,"3,853.49","3,015.90","3,853.49","3,853.49"
01/29/2025,"3,828.45","3,828.45","3,828.45","3,828.45"
01/28/2025,"3,836.25","3,836.25","3,836.25","3,836.25"
01/27/2025,"3,813.33","3,813.33","3,813.33","3,813.33"
01/24/2025,"3,856.78","3,856.78","3,856.78","3,856.78"
01/23/2025,"3,856.17","3,856.17","3,856.17","3,856.17"
01/22/2025,"3,838.19","3,838.19","3,838.19","3,838.19"
01/21/2025,"3,817.28","3,817.28","3,817.28","3,817.28"
01/20/2025,"3,788.38","3,788.38","3,788.38","3,788.38"
01/17/2025,"3,777.85","3,777.85","3,777.85","3,777.85"
01/16/2025,"3,746.86","3,746.86","3,746.86","3,746.86"
01/15/2025,"3,744.47","3,744.47","3,744.47","3,744.47"
01/14/2025,"3,682.46","3,682.46","3,682.46","3,682.46"
01/13/2025,"3,674.92","3,674.92","3,674.92","3,674.92"
01/10/2025,"3,678.22","3,678.22","3,678.22","3,678.22"
01/09/2025,"3,732.14","3,732.14","3,732.14","3,732.14"
01/08/2025,"3,732.20","3,732.20","3,732.20","3,732.20"
01/07/2025,"3,733.55","3,733.55","3,733.55","3,733.55"
01/06/2025,"3,763.15","3,763.15","3,763.15","3,763.15"
01/03/2025,"3,737.50","3,737.50","3,737.50","3,737.50"
01/02/2025,"3,702.68","3,702.68","3,702.68","3,702.68"
01/01/2025,"3,707.88","3,707.88","3,707.88","3,707.88"
