Datum,MSCI Emerging Markets
12.1987,10000
01.1988,10983.8
02.1988,11021.1
03.1988,12204.6
04.1988,12856.1
05.1988,13241.3
06.1988,13691.1
07.1988,13343.1
08.1988,12985.7
09.1988,13827.2
10.1988,13737.9
11.1988,13679.2
12.1988,14042.7
01.1989,13865.7
02.1989,14926.499999999998
03.1989,16413.7
04.1989,19528.8
05.1989,19792.1
06.1989,17390.6
07.1989,18534.5
08.1989,18964.7
09.1989,21355
10.1989,21654.1
11.1989,20644.8
12.1989,23164.9
01.1990,23927.2
02.1990,24865.6
03.1990,21501.4
04.1990,23052.5
05.1990,24946
06.1990,25808
07.1990,28083.6
08.1990,24500.7
09.1990,21372.1
10.1990,20975.3
11.1990,19880.699999999997
12.1990,20720.899999999998
01.1991,22396.1
02.1991,25709.4
03.1991,26766.000000000004
04.1991,27047.9
05.1991,29170.1
06.1991,28128.1
07.1991,29586.399999999994
08.1991,30209.8
09.1991,29051.799999999996
10.1991,30237.3
11.1991,29788
12.1991,33134.9
01.1992,36970.8
02.1992,38613.3
03.1992,39919.8
04.1992,39642.5
05.1992,39500.3
06.1992,35581.9
07.1992,35968.799999999996
08.1992,34291.6
09.1992,34409.4
10.1992,36249.9
11.1992,35859.399999999994
12.1992,36913.5
01.1993,37092
02.1993,37714
03.1993,38961.2
04.1993,39857.2
05.1993,40967.70000000001
06.1993,42182.5
07.1993,43296.7
08.1993,46952.600000000006
09.1993,48669.9
10.1993,53036.7
11.1993,55383.7
12.1993,64538.4
01.1994,65712.6
02.1994,64543.60000000002
03.1994,58703.09999999999
04.1994,57528.9
05.1994,59497.79999999999
06.1994,57857.8
07.1994,61455.3
08.1994,69082.7
09.1994,69867.8
10.1994,68607.5
11.1994,65040.3
12.1994,59816.5
01.1995,53452.5
02.1995,52081.6
03.1995,52412.5
04.1995,54763.8
05.1995,57677.20000000001
06.1995,57847.79999999999
07.1995,59146.3
08.1995,57753.09999999999
09.1995,57479
10.1995,55278.7
11.1995,54292.9
12.1995,56700.9
01.1996,60731.3
02.1996,59765.7
03.1996,60231.2
04.1996,62639.4
05.1996,62359.7
06.1996,62749.1
07.1996,58460.6
08.1996,59957.00000000001
09.1996,60476.4
10.1996,58863.5
11.1996,59849.80000000001
12.1996,60120.5
01.1997,64221.3
02.1997,66971.6
03.1997,65212.4
04.1997,65327.600000000006
05.1997,67197.3
06.1997,70793.50000000001
07.1997,71850.3
08.1997,62707.4
09.1997,64444.90000000001
10.1997,53870.3
11.1997,51904.7
12.1997,53155.49999999999
01.1998,48986.5
02.1998,54099.5
03.1998,56447.2
04.1998,55832.3
05.1998,48181
06.1998,43127
07.1998,44494.4
08.1998,31629.3
09.1998,33635.700000000004
10.1998,37177.6
11.1998,40269.600000000006
12.1998,39686
01.1999,39045.7
02.1999,39425.5
03.1999,44621.4
04.1999,50142
05.1999,49850.3
06.1999,55507.899999999994
07.1999,54000
08.1999,54491.3
09.1999,52647.2
10.1999,53768.2
11.1999,58589.3
12.1999,66040.7
01.2000,66434.3
02.2000,67311.7
03.2000,67640.2
04.2000,61228.4
05.2000,58697.1
06.2000,60764.70000000001
07.2000,57639.6
08.2000,57923
09.2000,52865.4
10.2000,49032.5
11.2000,44745.399999999994
12.2000,45825.7
01.2001,52135.9
02.2001,48053.600000000006
03.2001,43333.8
04.2001,45474.99999999999
05.2001,46017.8
06.2001,45073.2
07.2001,42225
08.2001,41808.5
09.2001,35337.4
10.2001,37530.399999999994
11.2001,41448.7
12.2001,44738.7
01.2002,46254.8
02.2002,47014.69999999999
03.2002,49842.70000000001
04.2002,50166.2
05.2002,49366.9
06.2002,45663.3
07.2002,42190.3
08.2002,42840.4
09.2002,38218.3
10.2002,40698.200000000004
11.2002,43499.6
12.2002,42054.3
01.2003,41871.2
02.2003,40741.1
03.2003,39585.9
04.2003,43111.9
05.2003,46206.1
06.2003,48839.6
07.2003,51898.29999999999
08.2003,55381.7
09.2003,55787.69999999999
10.2003,60535.1
11.2003,61279
12.2003,65721.5
01.2004,68055.6
02.2004,71195
03.2004,72109.8
04.2004,66214.3
05.2004,64910.2
06.2004,65206.7
07.2004,64053.7
08.2004,66735
09.2004,70589.4
10.2004,72280.49999999999
11.2004,78975.5
12.2004,82777.50000000001
01.2005,83039.5
02.2005,90331.1
03.2005,84380
04.2005,82130.99999999999
05.2005,85022.7
06.2005,87957.6
07.2005,94181.29999999999
08.2005,95029.1
09.2005,103890.2
10.2005,97102.5
11.2005,105142.3
12.2005,111370.70000000001
01.2006,123878.2
02.2006,123759.6
